Date,Day,Details
12.01.2024,Friday,Wish list from students (10.00am to 4.00pm)
13.01.2024 to 17.01.2024,Saturday to Wednesday,Course Allocation and scheduling by Schools
19.01.2024,Friday,Course Registration by Students
21.01.2024,Sunday,First Instructional Day (WWI01)
25.01.2024,Thursday,Last Date for Reregistration Fee Payment
27.01.2024,Saturday,WWwI02
28.01.2024,Sunday,WwWI03
04.02.2024,Sunday,WWI04
18.02.2024,Sunday,WwWI05
25.02.2024,Sunday,WWI06
~ 10.03.2024,Sunday,WWI07
17.03.2024,Sunday,WWIO08
23.03.2024,Saturday,Mid Term Test
24.03.2024,Sunday,WWI09
21.04.2024,Sunday,WWII10
27.04.2024,Saturday,WWIl1l
28.04.2024,Sunday,Wwll2
04.05.2024,Saturday,Wwilil3
05.05.2024,Sunday,W WI14 (Last Instructional Day)
